EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,OverTime,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,Attrition,SoftSkillsScore,TechnicalSkillsScore,LeadershipScore,CommunicationScore,AdaptabilityScore,InnovationScore,TeamworkScore,CultureFitScore,EngagementScore,GrowthPotential,SalaryCompetitiveness
11,41,Female,Married,3,Technical Degree,Human Resources,HR Manager,4,12184,3,16,0,3,2,1,1,25,Travel_Rarely,No,4,4,3,3,4,4,20,1,0,7.7,6.0,7.2,5.3,5.8,6.7,7.1,6.6,9.2,6.3,81.2
12,53,Male,Married,3,Marketing,Research & Development,Research Director,3,6766,8,11,1,1,3,1,6,28,Travel_Rarely,No,4,4,3,3,3,3,19,0,0,8.8,6.4,1.5,4.5,3.1,4.9,5.5,5.5,8.6,5.0,67.7
13,57,Female,Divorced,2,Technical Degree,Technology,DevOps Engineer,3,6554,5,7,0,2,0,0,4,8,Travel_Frequently,Yes,2,4,1,4,3,3,18,1,0,9.6,7.5,4.9,9.6,5.7,5.9,8.5,7.4,7.2,6.3,65.5
14,41,Male,Married,1,Other,Technology,Data Scientist,1,2351,0,3,0,0,0,1,2,3,Travel_Rarely,No,3,4,4,4,2,4,16,0,0,7.8,3.5,3.8,10.0,3.1,7.2,7.4,7.5,8.2,4.7,78.4
15,20,Female,Single,3,Life Sciences,Technology,Product Manager,1,3077,2,5,0,2,0,2,3,13,Travel_Rarely,No,4,4,4,3,3,3,11,1,0,9.3,9.9,5.0,8.8,8.1,7.9,5.8,8.0,9.0,7.5,102.6
16,39,Female,Single,4,Life Sciences,Sales,Manager,2,3965,2,11,1,2,0,3,6,1,Travel_Frequently,No,3,1,3,1,3,3,18,2,0,7.5,7.6,5.2,4.5,5.4,6.2,7.3,5.9,5.5,6.7,66.1
17,19,Male,Married,4,Medical,Technology,DevOps Engineer,3,9921,4,13,1,1,4,5,5,2,Travel_Frequently,No,3,4,1,2,2,3,18,1,1,7.9,7.1,5.9,7.8,4.3,5.6,6.1,5.6,6.4,6.2,99.2
18,41,Female,Divorced,3,Life Sciences,Research & Development,Laboratory Technician,1,2100,1,8,0,1,1,4,4,29,Travel_Rarely,No,3,3,3,4,2,4,24,0,0,10.0,6.1,7.8,10.0,6.9,2.6,8.3,7.7,7.2,6.5,70.0
19,47,Male,Divorced,4,Life Sciences,Human Resources,Human Resources,5,11568,0,12,0,0,0,4,1,13,Travel_Rarely,Yes,4,1,3,3,4,4,22,0,0,6.9,5.7,8.4,5.8,3.3,2.9,9.8,6.1,7.4,5.4,57.8
20,55,Female,Married,4,Life Sciences,Research & Development,Research Scientist,5,19967,5,17,5,5,4,4,4,22,Travel_Rarely,No,4,3,2,4,4,4,19,3,0,5.3,5.8,6.3,6.9,5.2,1.0,5.5,5.4,8.6,5.6,99.8
21,19,Male,Single,4,Technical Degree,Sales,Sales Executive,2,6628,9,12,0,2,1,1,2,7,Non-Travel,No,3,4,4,3,4,4,20,2,0,10.0,6.3,8.6,9.7,7.8,6.3,9.0,8.5,9.1,7.1,110.5
22,38,Female,Single,3,Human Resources,Technology,Tech Lead,5,14919,13,26,3,0,4,0,5,4,Travel_Rarely,Yes,4,3,3,4,4,3,21,0,0,8.0,7.6,7.7,7.5,4.0,7.8,8.8,7.4,9.0,7.0,74.6
23,50,Male,Divorced,3,Medical,Sales,Sales Representative,1,1715,17,21,4,0,11,1,4,29,Travel_Rarely,No,3,4,2,2,2,4,22,3,0,5.3,8.7,5.8,8.0,6.0,1.2,6.8,5.5,6.8,6.4,57.2
24,29,Male,Single,4,Marketing,Technology,Product Manager,1,2727,7,8,2,0,3,1,6,2,Non-Travel,No,4,3,3,1,4,2,16,0,0,6.8,4.9,8.9,6.0,5.0,8.1,8.1,6.4,7.9,6.7,90.9
25,39,Female,Single,3,Life Sciences,Technology,Software Engineer,1,2038,0,12,0,0,0,2,1,11,Travel_Frequently,No,3,2,4,3,3,4,13,1,0,7.7,6.3,6.1,4.8,2.7,8.8,7.5,6.6,7.2,5.8,67.9
26,42,Male,Single,4,Technical Degree,Technology,Product Manager,3,9412,9,12,9,0,3,2,5,6,Travel_Frequently,No,3,2,4,3,3,3,16,1,0,5.9,7.2,6.5,7.7,4.4,6.4,7.1,6.8,7.2,6.5,94.1
27,44,Male,Married,3,Technical Degree,Sales,Manager,1,3075,2,8,1,1,2,4,1,2,Travel_Rarely,No,1,3,4,3,4,3,18,0,0,5.2,7.3,4.1,6.3,5.2,9.1,6.6,6.9,7.5,6.0,102.5
28,59,Male,Divorced,2,Marketing,Research & Development,Laboratory Technician,5,19190,6,8,3,0,0,3,5,1,Travel_Frequently,No,3,1,3,4,1,4,17,0,1,8.2,6.1,6.7,6.0,6.9,5.9,8.1,7.4,5.4,7.0,96.0
29,45,Male,Single,1,Life Sciences,Technology,DevOps Engineer,1,2904,3,16,3,1,0,2,3,3,Travel_Rarely,No,3,3,4,3,4,4,23,2,0,4.2,6.5,6.8,5.8,9.0,3.5,6.5,6.7,8.5,6.8,96.8
30,33,Male,Married,3,Life Sciences,Research & Development,Research Director,2,5816,8,21,1,0,7,3,2,6,Travel_Rarely,Yes,4,1,4,4,3,4,18,0,0,6.2,6.6,7.7,8.2,6.5,5.3,8.5,7.6,7.5,6.6,96.9
31,32,Male,Married,3,Life Sciences,Research & Development,Manufacturing Director,4,15573,2,2,1,0,2,3,3,1,Travel_Rarely,Yes,4,4,3,2,3,3,13,1,0,6.2,5.2,5.5,7.7,6.7,9.2,6.1,7.0,8.2,6.4,103.8
32,20,Male,Divorced,4,Marketing,Research & Development,Laboratory Technician,1,2522,0,12,0,0,0,1,6,4,Travel_Rarely,Yes,4,3,3,1,4,3,18,1,1,5.5,5.6,4.5,9.9,7.9,4.8,9.9,7.3,7.9,6.4,84.1
33,54,Male,Single,2,Human Resources,Research & Development,Manufacturing Director,1,2889,4,11,4,4,1,3,6,7,Non-Travel,No,2,3,4,4,4,4,15,0,0,6.5,4.2,6.8,8.7,7.3,6.8,5.7,7.6,8.4,6.9,96.3
34,24,Female,Married,4,Human Resources,Technology,Product Manager,3,8779,0,7,0,0,0,3,6,10,Travel_Rarely,No,3,2,4,3,2,3,17,2,0,6.7,8.7,7.5,7.2,5.3,7.1,10.0,7.6,6.6,7.5,87.8
35,38,Male,Married,4,Medical,Research & Development,Research Director,2,5391,16,21,0,1,2,1,0,1,Travel_Rarely,No,4,2,4,3,3,4,23,0,0,2.5,7.9,5.3,7.2,5.5,8.4,6.7,6.8,7.8,6.4,89.8
36,26,Male,Divorced,2,Technical Degree,Human Resources,Human Resources,1,4025,3,9,3,1,3,3,6,8,Non-Travel,No,2,4,2,1,3,4,14,0,0,7.4,5.0,4.3,8.6,7.5,2.3,8.2,6.3,6.5,6.0,134.2
37,56,Male,Married,4,Other,Research & Development,Research Scientist,2,5241,4,18,0,0,0,2,1,1,Travel_Rarely,Yes,3,4,4,4,2,4,13,2,0,8.2,5.3,5.2,7.2,7.4,8.8,8.5,8.4,8.2,6.3,87.4
38,35,Male,Single,5,Life Sciences,Research & Development,Research Scientist,2,3502,11,20,3,0,1,5,3,1,Travel_Frequently,Yes,3,2,3,4,4,3,16,3,1,9.2,5.0,9.2,8.9,6.9,4.1,7.4,7.5,7.9,6.3,58.4
39,21,Female,Married,4,Medical,Sales,Sales Representative,5,17289,4,14,0,0,4,2,1,1,Travel_Rarely,No,1,2,3,4,2,3,19,2,0,6.9,5.6,4.1,7.3,5.4,9.0,8.7,7.7,5.6,5.6,86.4
40,42,Male,Married,4,Other,Research & Development,Manufacturing Director,4,12192,1,2,0,1,1,4,5,8,Travel_Rarely,Yes,1,4,4,4,1,3,14,0,1,3.8,7.4,4.0,8.0,9.4,5.3,6.4,7.5,6.6,6.9,81.3
41,31,Male,Single,5,Life Sciences,Research & Development,Research Director,2,4735,1,5,0,1,1,4,1,1,Travel_Rarely,Yes,4,3,4,3,2,3,22,3,0,8.3,10.0,9.7,9.3,5.1,5.3,5.6,6.9,7.8,7.2,78.9
42,26,Female,Divorced,3,Other,Human Resources,HR Manager,2,5953,3,14,1,2,1,4,0,1,Travel_Rarely,No,3,1,4,3,3,3,19,1,0,7.1,6.3,5.7,4.7,6.3,7.5,7.3,7.0,6.6,5.8,99.2
43,43,Female,Single,3,Other,Research & Development,Research Scientist,2,6130,10,16,0,0,4,3,1,1,Non-Travel,No,4,1,4,3,2,4,13,0,0,8.1,7.7,3.6,9.1,9.0,8.6,8.2,8.7,6.5,6.9,102.2
44,19,Male,Married,4,Technical Degree,Research & Development,Research Scientist,5,17619,7,21,2,3,7,0,5,23,Travel_Frequently,Yes,4,4,4,4,3,2,16,2,0,7.2,6.8,3.2,9.2,6.7,5.1,6.4,7.5,9.4,5.8,88.1
45,37,Female,Married,3,Technical Degree,Research & Development,Manufacturing Director,1,1804,16,24,3,0,1,3,5,19,Travel_Frequently,No,2,4,3,4,3,3,22,0,0,7.8,7.4,7.1,6.7,6.4,5.4,7.6,7.1,8.0,6.9,60.1
46,45,Female,Married,3,Technical Degree,Sales,Sales Representative,2,5099,0,0,0,0,0,4,3,1,Travel_Rarely,No,2,3,4,3,3,3,15,1,0,5.6,6.6,6.7,7.2,7.0,4.8,5.5,6.6,7.4,6.4,85.0
47,24,Male,Married,2,Technical Degree,Technology,Product Manager,3,7576,1,15,1,0,1,2,6,2,Travel_Rarely,Yes,2,2,4,2,2,3,19,3,0,5.3,8.7,7.2,6.5,5.3,4.8,7.5,6.3,5.8,7.1,75.8
48,25,Female,Divorced,4,Life Sciences,Research & Development,Research Scientist,5,18757,0,2,0,0,0,1,2,23,Travel_Rarely,No,3,3,3,4,3,3,16,0,1,6.8,7.9,4.3,6.2,6.3,7.0,6.6,7.0,7.9,6.2,93.8
49,52,Female,Married,1,Life Sciences,Sales,Sales Representative,1,2439,6,11,1,0,1,2,4,1,Non-Travel,No,4,3,3,3,3,4,12,1,0,6.9,7.0,3.6,8.9,7.8,5.8,7.4,7.4,8.0,6.6,81.3
50,31,Male,Married,5,Life Sciences,Sales,Manager,1,3108,0,13,0,0,0,1,3,1,Travel_Rarely,Yes,4,3,3,2,3,3,14,0,0,5.8,8.0,7.1,4.9,8.2,8.5,7.4,7.0,7.6,7.6,103.6
51,34,Male,Divorced,3,Technical Degree,Technology,Data Scientist,1,2637,0,6,0,0,0,0,0,1,Non-Travel,No,2,2,4,3,2,4,24,2,1,5.8,8.4,3.9,7.2,9.4,4.6,6.0,7.2,6.1,6.4,87.9
52,53,Male,Married,2,Life Sciences,Sales,Sales Representative,1,2229,4,9,4,0,1,1,4,29,Travel_Frequently,No,1,1,4,4,2,1,15,1,1,5.8,5.9,5.7,5.1,5.2,7.5,7.4,7.0,5.4,5.7,74.3
53,57,Female,Single,3,Life Sciences,Technology,Software Engineer,3,6144,2,2,2,1,2,1,1,10,Non-Travel,No,4,4,4,3,3,2,21,0,0,8.7,7.7,4.2,6.2,8.9,7.4,6.5,7.7,9.0,6.3,61.4
54,21,Female,Married,1,Life Sciences,Sales,Manager,3,8418,6,9,1,0,0,4,3,1,Travel_Rarely,No,3,3,3,2,4,3,21,0,0,5.6,8.3,9.3,5.3,7.6,5.4,8.4,6.6,7.8,7.5,84.2
55,19,Female,Divorced,4,Technical Degree,Technology,Tech Lead,3,8424,3,8,3,0,3,5,4,1,Non-Travel,No,4,4,4,1,2,3,19,1,0,7.8,7.7,7.8,7.2,8.4,5.5,8.4,7.3,7.6,7.4,84.2
56,23,Male,Single,5,Other,Technology,Product Manager,1,2368,2,9,1,0,2,4,6,26,Travel_Rarely,Yes,2,3,4,2,3,3,23,2,0,5.8,8.1,10.0,7.8,4.1,7.0,7.5,6.6,7.0,7.6,78.9
57,59,Female,Married,4,Other,Human Resources,HR Manager,1,2887,2,11,0,2,2,2,6,4,Travel_Frequently,No,3,4,2,2,3,4,11,1,1,7.7,7.1,7.3,8.8,5.1,4.6,7.3,6.3,7.4,6.9,96.2
58,21,Male,Divorced,2,Medical,Sales,Sales Executive,1,1808,10,24,1,1,4,3,3,7,Travel_Rarely,No,3,4,3,4,4,2,22,0,0,9.0,7.8,6.6,7.0,6.9,5.3,8.2,7.5,9.1,6.4,60.3
59,46,Male,Single,2,Human Resources,Research & Development,Research Director,2,4237,2,15,2,2,1,1,6,2,Non-Travel,Yes,4,2,3,2,4,2,19,2,0,8.7,9.3,7.4,10.0,7.8,3.4,8.4,7.4,7.6,7.4,70.6
60,35,Male,Married,4,Technical Degree,Research & Development,Research Scientist,3,8589,2,5,1,0,2,5,1,11,Travel_Rarely,No,1,3,4,4,4,2,20,0,1,6.6,5.5,2.9,6.4,5.7,4.2,9.2,7.2,7.9,4.4,85.9
61,43,Female,Married,5,Medical,Research & Development,Manufacturing Director,1,2220,2,8,2,2,2,4,5,1,Travel_Rarely,Yes,2,4,4,2,4,4,11,2,0,7.4,7.0,2.4,8.2,5.8,3.9,6.9,6.6,8.2,5.8,74.0
62,51,Male,Married,3,Marketing,Research & Development,Manufacturing Director,1,2321,1,11,1,1,0,4,3,12,Travel_Rarely,No,3,4,4,4,3,3,11,0,0,6.3,5.8,7.4,9.1,4.6,4.1,5.6,6.6,8.9,5.7,77.4
63,27,Female,Single,3,Life Sciences,Sales,Sales Executive,2,4939,9,11,1,2,0,4,0,2,Travel_Rarely,No,2,4,3,2,4,3,14,1,0,8.4,6.1,4.8,6.5,5.6,2.5,8.5,6.3,7.9,4.7,82.3
64,53,Male,Single,3,Other,Human Resources,HR Manager,2,5685,0,7,0,0,0,3,4,1,Travel_Rarely,No,4,4,2,3,3,4,23,0,0,6.9,7.7,6.0,7.9,5.8,2.7,9.3,6.6,8.2,6.4,94.8
65,31,Male,Married,4,Life Sciences,Research & Development,Research Scientist,2,4899,11,11,1,0,0,1,4,5,Non-Travel,No,2,3,4,2,3,3,16,1,0,9.0,4.5,2.7,3.3,5.8,7.7,7.3,6.7,7.0,5.4,81.6
66,48,Male,Divorced,3,Medical,Research & Development,Manufacturing Director,4,7878,1,4,1,1,1,2,4,13,Non-Travel,No,1,3,3,3,3,1,24,2,0,5.6,5.3,5.0,8.7,4.9,5.7,7.1,6.6,6.5,5.1,52.5
67,32,Male,Divorced,2,Technical Degree,Sales,Sales Executive,1,2198,11,18,4,1,7,2,3,3,Travel_Frequently,No,4,3,2,2,3,4,12,2,0,5.8,8.8,5.3,5.8,10.0,8.5,9.3,7.6,7.2,8.0,73.3
68,25,Female,Married,2,Life Sciences,Technology,Product Manager,3,9342,7,16,7,1,1,1,1,1,Travel_Rarely,No,3,4,3,3,4,3,11,1,0,8.0,5.0,7.8,9.4,8.3,8.1,5.8,7.7,8.8,6.6,93.4
69,31,Male,Single,4,Life Sciences,Research & Development,Research Scientist,2,5762,4,7,0,3,4,0,3,6,Travel_Rarely,Yes,2,4,1,3,2,3,22,2,1,7.7,9.2,6.3,7.0,7.7,5.1,6.8,6.5,6.2,7.1,96.0
70,40,Female,Married,1,Technical Degree,Technology,Data Scientist,2,5817,5,6,0,0,1,2,3,9,Travel_Frequently,No,2,1,4,4,1,4,14,1,0,9.7,7.0,3.2,8.5,8.6,4.1,6.4,7.9,5.2,6.2,97.0
71,57,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,5,21964,1,2,1,0,1,1,6,10,Travel_Frequently,Yes,4,3,4,2,4,3,18,0,0,6.6,6.9,5.0,6.1,7.5,6.3,7.2,7.0,8.6,6.9,109.8
72,38,Female,Divorced,3,Technical Degree,Sales,Sales Executive,1,2559,4,7,2,0,4,1,5,4,Travel_Rarely,No,4,3,3,2,3,1,16,2,0,6.2,6.0,8.2,10.0,10.0,5.1,8.5,7.8,7.6,7.0,85.3
73,33,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,3,8947,1,15,1,1,0,3,4,1,Non-Travel,No,4,3,4,2,4,4,22,1,0,6.1,6.5,5.1,7.3,5.1,7.3,5.6,6.4,8.6,6.4,89.5
74,35,Female,Married,1,Marketing,Research & Development,Research Director,2,3986,2,14,0,2,2,3,1,7,Travel_Frequently,Yes,4,4,3,3,4,3,15,0,1,6.6,7.3,7.8,10.0,2.4,2.0,8.5,6.1,9.2,5.1,66.4
75,41,Female,Divorced,4,Technical Degree,Technology,Product Manager,2,2825,7,10,0,1,3,2,2,3,Travel_Frequently,No,4,3,2,2,3,3,11,0,0,7.5,6.7,4.9,7.0,4.9,6.7,6.1,6.0,7.2,5.7,47.1
76,43,Male,Single,4,Marketing,Technology,Tech Lead,3,6090,1,15,1,1,0,2,1,23,Travel_Rarely,No,3,3,4,2,2,4,13,1,0,4.5,5.7,6.7,6.5,3.1,9.2,7.8,6.5,6.9,5.9,60.9
77,42,Male,Married,4,Marketing,Research & Development,Laboratory Technician,4,11175,9,10,0,1,9,2,6,5,Travel_Frequently,Yes,4,3,3,3,3,2,24,0,1,5.2,7.9,6.1,8.0,4.3,5.2,4.2,5.7,8.0,6.3,74.5
78,58,Female,Married,4,Technical Degree,Technology,Tech Lead,4,9464,2,8,0,1,1,2,3,5,Travel_Rarely,No,3,3,2,1,4,3,17,2,0,7.3,8.9,5.8,8.9,5.4,7.2,4.5,5.9,7.0,6.8,63.1
79,46,Female,Divorced,3,Technical Degree,Research & Development,Research Scientist,3,8002,3,17,0,0,2,4,0,2,Non-Travel,Yes,4,3,4,4,1,3,24,2,0,7.6,4.6,3.4,8.4,6.2,3.5,7.0,7.2,7.5,4.3,80.0
80,32,Male,Single,4,Technical Degree,Technology,Tech Lead,1,2268,14,19,0,2,0,4,1,3,Travel_Rarely,Yes,4,1,3,2,1,4,20,0,0,6.5,10.0,2.8,7.9,8.4,4.8,8.8,7.2,5.1,6.6,75.6
81,18,Female,Married,3,Human Resources,Technology,Product Manager,3,10094,5,15,4,1,2,3,4,5,Travel_Frequently,No,4,2,2,3,2,3,13,0,1,7.7,7.4,6.5,7.1,9.5,4.2,8.6,7.3,6.4,7.1,100.9
82,42,Female,Divorced,4,Life Sciences,Sales,Sales Representative,3,6852,5,7,3,1,4,2,0,2,Travel_Rarely,No,3,3,1,4,3,4,15,0,0,4.7,7.7,6.1,8.3,7.0,9.1,5.1,6.8,7.1,6.9,68.5
83,24,Female,Single,5,Medical,Research & Development,Laboratory Technician,1,2570,6,13,0,0,2,4,2,17,Travel_Rarely,No,3,4,4,2,3,2,16,0,0,5.9,9.3,4.9,7.6,4.3,9.9,8.6,7.3,8.1,6.5,85.7
84,26,Female,Married,2,Other,Research & Development,Research Director,2,4580,12,19,0,2,4,1,2,4,Non-Travel,Yes,3,3,3,2,4,3,19,0,1,5.9,3.8,4.3,6.8,5.6,5.0,7.9,6.3,7.8,4.8,76.3
85,41,Female,Married,3,Medical,Technology,DevOps Engineer,4,10382,1,1,1,1,1,4,0,2,Travel_Rarely,No,3,4,2,4,4,3,21,2,0,5.7,4.6,8.7,6.8,6.0,8.6,7.8,7.1,8.8,6.1,69.2
86,18,Male,Married,3,Life Sciences,Research & Development,Research Director,2,4272,4,6,1,1,0,1,6,1,Travel_Frequently,No,4,4,4,3,4,3,13,1,1,8.2,4.0,8.0,9.2,5.7,7.2,10.0,8.2,9.6,6.6,71.2
87,25,Male,Single,2,Marketing,Technology,Tech Lead,2,2948,2,6,2,2,1,0,2,8,Non-Travel,No,3,4,4,3,3,4,16,0,0,8.4,5.1,7.5,5.0,4.1,5.2,6.4,6.2,8.5,5.7,49.1
88,41,Male,Single,1,Life Sciences,Technology,Tech Lead,4,14945,0,1,0,0,0,3,0,1,Travel_Rarely,No,1,3,3,3,3,3,21,0,0,3.6,7.9,9.2,8.3,8.8,9.2,8.5,7.9,6.5,7.7,99.6
89,28,Female,Single,4,Life Sciences,Sales,Manager,1,3201,0,11,0,0,0,3,3,4,Travel_Rarely,Yes,3,2,1,2,3,3,12,2,1,4.0,5.2,3.8,8.2,3.7,4.8,7.3,5.3,5.8,4.8,106.7
90,34,Female,Divorced,5,Other,Sales,Sales Representative,1,2366,1,12,1,1,0,1,0,6,Travel_Rarely,No,4,3,3,4,3,2,19,2,0,7.2,5.6,6.6,10.0,5.5,4.7,9.3,7.6,8.4,5.0,78.9
91,25,Male,Married,3,Marketing,Technology,Tech Lead,3,8549,4,8,1,3,4,2,3,3,Travel_Frequently,No,4,3,2,4,3,4,22,0,0,6.1,5.9,3.2,2.2,6.7,4.0,7.7,5.9,8.0,5.6,85.5
92,52,Female,Single,1,Life Sciences,Sales,Sales Executive,2,4704,10,20,2,1,10,2,6,11,Travel_Rarely,No,3,4,3,3,4,3,19,0,0,6.8,6.8,5.2,4.7,6.8,7.8,6.5,6.7,8.8,7.0,78.4
93,52,Female,Married,1,Other,Technology,Tech Lead,3,7105,7,16,0,2,0,2,4,9,Travel_Rarely,No,1,4,3,4,3,4,17,3,0,7.5,6.7,5.4,5.7,5.8,4.1,6.3,6.4,7.5,6.2,71.0
94,50,Male,Married,4,Other,Research & Development,Research Director,1,2852,4,6,0,1,1,0,4,28,Travel_Rarely,No,2,3,3,3,2,4,24,0,1,9.7,5.8,4.6,6.1,7.1,5.7,7.5,7.2,6.4,6.3,95.1
95,22,Male,Single,3,Medical,Research & Development,Manufacturing Director,2,5319,0,14,0,0,0,4,2,5,Travel_Rarely,Yes,2,3,3,3,1,3,21,2,0,6.9,5.4,5.9,8.4,4.6,5.3,6.2,6.4,5.8,5.3,88.6
96,59,Male,Married,3,Life Sciences,Sales,Sales Executive,1,1500,1,9,1,1,1,3,5,6,Travel_Rarely,No,2,3,3,4,1,3,19,1,0,8.3,6.5,10.0,5.0,6.3,5.0,3.4,6.0,6.1,7.2,50.0
97,56,Male,Married,3,Human Resources,Technology,Product Manager,5,14275,2,12,0,1,2,5,5,2,Travel_Rarely,Yes,4,4,4,2,2,4,14,2,0,6.3,7.0,6.5,6.6,4.2,5.5,8.9,6.6,8.0,6.5,71.4
98,58,Male,Married,3,Technical Degree,Sales,Manager,2,2946,4,4,0,3,2,2,0,3,Travel_Frequently,No,3,4,3,2,3,3,20,1,0,7.7,9.1,8.0,6.0,4.9,5.2,8.7,6.4,7.8,6.4,49.1
99,45,Male,Married,3,Technical Degree,Technology,Software Engineer,2,6555,0,3,0,0,0,4,6,1,Travel_Rarely,Yes,3,4,3,2,3,4,11,3,0,8.1,5.5,6.2,6.6,8.3,9.2,7.2,7.5,7.8,7.7,109.2
100,24,Male,Single,4,Human Resources,Research & Development,Research Scientist,1,2414,3,12,3,3,3,2,3,9,Travel_Rarely,No,4,3,4,4,2,3,11,2,0,6.2,6.8,2.7,9.1,6.1,6.9,8.1,7.9,8.1,5.7,80.5
101,26,Male,Married,3,Technical Degree,Technology,Data Scientist,1,2620,11,16,0,2,1,4,4,2,Non-Travel,No,3,3,2,3,3,3,12,0,0,6.0,3.9,4.7,7.9,6.2,6.2,8.2,6.8,7.1,5.5,87.3
102,25,Male,Married,4,Life Sciences,Human Resources,HR Manager,2,4646,6,20,2,0,0,1,6,6,Travel_Rarely,Yes,1,1,2,3,4,2,20,1,0,6.3,8.6,4.9,6.1,5.6,5.2,7.3,6.2,5.5,6.5,77.4
103,29,Male,Married,3,Technical Degree,Sales,Sales Representative,1,3051,7,15,0,3,0,1,4,2,Travel_Rarely,No,3,1,4,2,2,3,24,0,0,8.3,6.8,5.9,4.9,5.3,3.5,4.9,5.6,5.6,5.9,101.7
104,51,Female,Married,4,Life Sciences,Technology,Tech Lead,2,5860,5,7,5,1,1,3,4,7,Travel_Frequently,No,2,1,3,1,3,3,21,3,1,8.1,8.2,7.2,7.8,6.5,4.7,7.7,6.5,5.0,6.9,97.7
105,50,Male,Married,4,Technical Degree,Sales,Manager,2,4784,1,15,1,1,1,6,2,4,Travel_Rarely,Yes,3,4,3,2,3,2,13,0,1,3.3,8.8,7.7,6.0,10.0,6.0,6.9,6.8,7.8,7.5,79.7
106,40,Female,Divorced,2,Marketing,Research & Development,Manufacturing Director,3,11420,0,2,0,0,0,1,4,5,Non-Travel,Yes,4,2,4,4,3,3,24,0,0,6.4,7.7,6.7,6.6,4.0,5.9,9.8,7.3,8.1,6.4,114.2
107,41,Female,Married,3,Life Sciences,Sales,Sales Executive,3,8815,8,22,0,0,0,4,5,22,Travel_Rarely,No,4,2,3,4,3,3,12,1,0,7.6,7.2,8.1,6.6,4.7,6.3,8.1,7.0,7.8,6.9,88.1
